country,population,date,type,cases
Sweden,10353442,2020-12-20,death,0
Sweden,10353442,2020-12-21,death,0
Sweden,10353442,2020-12-22,death,0
Sweden,10353442,2020-12-23,death,286
Sweden,10353442,2020-12-24,death,0
Sweden,10353442,2020-12-25,death,0
Sweden,10353442,2020-12-26,death,0
Sweden,10353442,2020-12-27,death,0
Sweden,10353442,2020-12-28,death,0
Sweden,10353442,2020-12-29,death,0
Sweden,10353442,2020-12-30,death,448
Sweden,10353442,2020-12-31,death,0
Sweden,10353442,2021-01-01,death,0
Sweden,10353442,2021-01-02,death,0
Sweden,10353442,2021-01-03,death,0
Sweden,10353442,2021-01-04,death,0
Sweden,10353442,2021-01-05,death,238
Sweden,10353442,2021-01-06,death,0
Sweden,10353442,2021-01-07,death,297
Sweden,10353442,2021-01-08,death,171
Sweden,10353442,2021-01-09,death,0
Sweden,10353442,2021-01-10,death,0
Sweden,10353442,2021-01-11,death,0
Sweden,10353442,2021-01-12,death,0
Sweden,10353442,2021-01-13,death,401
Sweden,10353442,2021-01-14,death,351
Sweden,10353442,2021-01-15,death,138
Sweden,10353442,2021-01-16,death,0
Sweden,10353442,2021-01-17,death,0
Sweden,10353442,2021-01-18,death,0
Sweden,10353442,2021-01-19,death,0
Sweden,10353442,2021-01-20,death,474
Sweden,10353442,2021-01-21,death,124
Sweden,10353442,2021-01-22,death,84
Sweden,10353442,2021-01-23,death,0
Sweden,10353442,2021-01-24,death,0
Sweden,10353442,2021-01-25,death,0
Sweden,10353442,2021-01-26,death,242
Sweden,10353442,2021-01-27,death,178
Sweden,10353442,2021-01-28,death,95
Sweden,10353442,2021-01-29,death,71
Eswatini,1160164,2020-01-22,death,0
Eswatini,1160164,2020-01-23,death,0
Eswatini,1160164,2020-01-24,death,0
Eswatini,1160164,2020-01-25,death,0
Eswatini,1160164,2020-01-26,death,0
Eswatini,1160164,2020-01-27,death,0
Eswatini,1160164,2020-01-28,death,0
Eswatini,1160164,2020-01-29,death,0
Eswatini,1160164,2020-01-30,death,0
Eswatini,1160164,2020-01-31,death,0
Eswatini,1160164,2020-02-01,death,0
Eswatini,1160164,2020-02-02,death,0
Eswatini,1160164,2020-02-03,death,0
Eswatini,1160164,2020-02-04,death,0
Eswatini,1160164,2020-02-05,death,0
Eswatini,1160164,2020-02-06,death,0
Eswatini,1160164,2020-02-07,death,0
Eswatini,1160164,2020-02-08,death,0
Eswatini,1160164,2020-02-09,death,0
Eswatini,1160164,2020-02-10,death,0
Eswatini,1160164,2020-02-11,death,0
Eswatini,1160164,2020-02-12,death,0
Eswatini,1160164,2020-02-13,death,0
Eswatini,1160164,2020-02-14,death,0
Eswatini,1160164,2020-02-15,death,0
Eswatini,1160164,2020-02-16,death,0
Eswatini,1160164,2020-02-17,death,0
Eswatini,1160164,2020-02-18,death,0
Eswatini,1160164,2020-02-19,death,0
Eswatini,1160164,2020-02-20,death,0
Eswatini,1160164,2020-02-21,death,0
Eswatini,1160164,2020-02-22,death,0
Eswatini,1160164,2020-02-23,death,0
Eswatini,1160164,2020-02-24,death,0
Eswatini,1160164,2020-02-25,death,0
Eswatini,1160164,2020-02-26,death,0
Eswatini,1160164,2020-02-27,death,0
Eswatini,1160164,2020-02-28,death,0
Eswatini,1160164,2020-02-29,death,0
Eswatini,1160164,2020-03-01,death,0
Eswatini,1160164,2020-03-02,death,0
Eswatini,1160164,2020-03-03,death,0
Eswatini,1160164,2020-03-04,death,0
Eswatini,1160164,2020-03-05,death,0
Eswatini,1160164,2020-03-06,death,0
Eswatini,1160164,2020-03-07,death,0
Eswatini,1160164,2020-03-08,death,0
Eswatini,1160164,2020-03-09,death,0
Eswatini,1160164,2020-03-10,death,0
Eswatini,1160164,2020-03-11,death,0
Eswatini,1160164,2020-03-12,death,0
Eswatini,1160164,2020-03-13,death,0
Eswatini,1160164,2020-03-14,death,0
Eswatini,1160164,2020-03-15,death,0
Eswatini,1160164,2020-03-16,death,0
Eswatini,1160164,2020-03-17,death,0
Eswatini,1160164,2020-03-18,death,0
Eswatini,1160164,2020-03-19,death,0
Eswatini,1160164,2020-03-20,death,0
Eswatini,1160164,2020-03-21,death,0
Eswatini,1160164,2020-03-22,death,0
Eswatini,1160164,2020-03-23,death,0
Eswatini,1160164,2020-03-24,death,0
Eswatini,1160164,2020-03-25,death,0
Eswatini,1160164,2020-03-26,death,0
Eswatini,1160164,2020-03-27,death,0
Eswatini,1160164,2020-03-28,death,0
Eswatini,1160164,2020-03-29,death,0
Eswatini,1160164,2020-03-30,death,0
Eswatini,1160164,2020-03-31,death,0
Eswatini,1160164,2020-04-01,death,0
Eswatini,1160164,2020-04-02,death,0
Eswatini,1160164,2020-04-03,death,0
Eswatini,1160164,2020-04-04,death,0
Eswatini,1160164,2020-04-05,death,0
Eswatini,1160164,2020-04-06,death,0
Eswatini,1160164,2020-04-07,death,0
Eswatini,1160164,2020-04-08,death,0
Eswatini,1160164,2020-04-09,death,0
Eswatini,1160164,2020-04-10,death,0
Eswatini,1160164,2020-04-11,death,0
Eswatini,1160164,2020-04-12,death,0
Eswatini,1160164,2020-04-13,death,0
Eswatini,1160164,2020-04-14,death,0
Eswatini,1160164,2020-04-15,death,0
Eswatini,1160164,2020-04-16,death,1
Eswatini,1160164,2020-04-17,death,0
Eswatini,1160164,2020-04-18,death,0
Eswatini,1160164,2020-04-19,death,0
Eswatini,1160164,2020-04-20,death,0
Eswatini,1160164,2020-04-21,death,0
Eswatini,1160164,2020-04-22,death,0
Eswatini,1160164,2020-04-23,death,0
Eswatini,1160164,2020-04-24,death,0
Eswatini,1160164,2020-04-25,death,0
Eswatini,1160164,2020-04-26,death,0
Eswatini,1160164,2020-04-27,death,0
Eswatini,1160164,2020-04-28,death,0
Eswatini,1160164,2020-04-29,death,0
Eswatini,1160164,2020-04-30,death,0
Eswatini,1160164,2020-05-01,death,0
Eswatini,1160164,2020-05-02,death,0
Eswatini,1160164,2020-05-03,death,0
Eswatini,1160164,2020-05-04,death,0
Eswatini,1160164,2020-05-05,death,0
Eswatini,1160164,2020-05-06,death,1
Eswatini,1160164,2020-05-07,death,0
Eswatini,1160164,2020-05-08,death,0
Eswatini,1160164,2020-05-09,death,0
Eswatini,1160164,2020-05-10,death,0
Eswatini,1160164,2020-05-11,death,0
Eswatini,1160164,2020-05-12,death,0
Eswatini,1160164,2020-05-13,death,0
Eswatini,1160164,2020-05-14,death,0
Eswatini,1160164,2020-05-15,death,0
Eswatini,1160164,2020-05-16,death,0
Eswatini,1160164,2020-05-17,death,0
Eswatini,1160164,2020-05-18,death,0
Eswatini,1160164,2020-05-19,death,0
Eswatini,1160164,2020-05-20,death,0
Eswatini,1160164,2020-05-21,death,0
Eswatini,1160164,2020-05-22,death,0
Eswatini,1160164,2020-05-23,death,0
Eswatini,1160164,2020-05-24,death,0
Eswatini,1160164,2020-05-25,death,0
Eswatini,1160164,2020-05-26,death,0
Eswatini,1160164,2020-05-27,death,0
Eswatini,1160164,2020-05-28,death,0
Eswatini,1160164,2020-05-29,death,0
Eswatini,1160164,2020-05-30,death,0
Eswatini,1160164,2020-05-31,death,0
Eswatini,1160164,2020-06-01,death,1
Eswatini,1160164,2020-06-02,death,0
Eswatini,1160164,2020-06-03,death,0
Eswatini,1160164,2020-06-04,death,0
Eswatini,1160164,2020-06-05,death,0
Eswatini,1160164,2020-06-06,death,0
Eswatini,1160164,2020-06-07,death,0
Eswatini,1160164,2020-06-08,death,0
Eswatini,1160164,2020-06-09,death,0
Eswatini,1160164,2020-06-10,death,0
Eswatini,1160164,2020-06-11,death,0
Eswatini,1160164,2020-06-12,death,0
Eswatini,1160164,2020-06-13,death,0
Eswatini,1160164,2020-06-14,death,1
Eswatini,1160164,2020-06-15,death,0
Eswatini,1160164,2020-06-16,death,0
Eswatini,1160164,2020-06-17,death,0
Eswatini,1160164,2020-06-18,death,0
Eswatini,1160164,2020-06-19,death,0
Eswatini,1160164,2020-06-20,death,1
Eswatini,1160164,2020-06-21,death,0
Eswatini,1160164,2020-06-22,death,1
Eswatini,1160164,2020-06-23,death,1
Eswatini,1160164,2020-06-24,death,0
Eswatini,1160164,2020-06-25,death,1
Eswatini,1160164,2020-06-26,death,0
Eswatini,1160164,2020-06-27,death,0
Eswatini,1160164,2020-06-28,death,3
Eswatini,1160164,2020-06-29,death,0
Eswatini,1160164,2020-06-30,death,0
Eswatini,1160164,2020-07-01,death,0
Eswatini,1160164,2020-07-02,death,0
Eswatini,1160164,2020-07-03,death,2
Eswatini,1160164,2020-07-04,death,0
Eswatini,1160164,2020-07-05,death,0
Eswatini,1160164,2020-07-06,death,0
Eswatini,1160164,2020-07-07,death,1
Eswatini,1160164,2020-07-08,death,0
Eswatini,1160164,2020-07-09,death,3
Eswatini,1160164,2020-07-10,death,1
Eswatini,1160164,2020-07-11,death,0
Eswatini,1160164,2020-07-12,death,2
Eswatini,1160164,2020-07-13,death,0
Eswatini,1160164,2020-07-14,death,0
Eswatini,1160164,2020-07-15,death,0
Eswatini,1160164,2020-07-16,death,1
Eswatini,1160164,2020-07-17,death,0
Eswatini,1160164,2020-07-18,death,0
Eswatini,1160164,2020-07-19,death,0
Eswatini,1160164,2020-07-20,death,2
Eswatini,1160164,2020-07-21,death,1
Eswatini,1160164,2020-07-22,death,1
Eswatini,1160164,2020-07-23,death,3
Eswatini,1160164,2020-07-24,death,0
Eswatini,1160164,2020-07-25,death,0
Eswatini,1160164,2020-07-26,death,4
Eswatini,1160164,2020-07-27,death,2
Eswatini,1160164,2020-07-28,death,5
Eswatini,1160164,2020-07-29,death,1
Eswatini,1160164,2020-07-30,death,0
Eswatini,1160164,2020-07-31,death,1
Eswatini,1160164,2020-08-01,death,2
Eswatini,1160164,2020-08-02,death,0
Eswatini,1160164,2020-08-03,death,2
Eswatini,1160164,2020-08-04,death,4
Eswatini,1160164,2020-08-05,death,4
Eswatini,1160164,2020-08-06,death,2
Eswatini,1160164,2020-08-07,death,1
Eswatini,1160164,2020-08-08,death,0
Eswatini,1160164,2020-08-09,death,2
Eswatini,1160164,2020-08-10,death,3
Eswatini,1160164,2020-08-11,death,2
Eswatini,1160164,2020-08-12,death,0
Eswatini,1160164,2020-08-13,death,2
Eswatini,1160164,2020-08-14,death,3
Eswatini,1160164,2020-08-15,death,1
Eswatini,1160164,2020-08-16,death,1
Eswatini,1160164,2020-08-17,death,3
Eswatini,1160164,2020-08-18,death,3
Eswatini,1160164,2020-08-19,death,3
Eswatini,1160164,2020-08-20,death,2
Eswatini,1160164,2020-08-21,death,0
Eswatini,1160164,2020-08-22,death,2
Eswatini,1160164,2020-08-23,death,2
Eswatini,1160164,2020-08-24,death,0
Eswatini,1160164,2020-08-25,death,1
Eswatini,1160164,2020-08-26,death,2
Eswatini,1160164,2020-08-27,death,1
Eswatini,1160164,2020-08-28,death,2
Eswatini,1160164,2020-08-29,death,0
Eswatini,1160164,2020-08-30,death,0
Eswatini,1160164,2020-08-31,death,0
Eswatini,1160164,2020-09-01,death,3
Eswatini,1160164,2020-09-02,death,0
Eswatini,1160164,2020-09-03,death,0
Eswatini,1160164,2020-09-04,death,0
Eswatini,1160164,2020-09-05,death,0
Eswatini,1160164,2020-09-06,death,0
Eswatini,1160164,2020-09-07,death,0
Eswatini,1160164,2020-09-08,death,2
Eswatini,1160164,2020-09-09,death,1
Eswatini,1160164,2020-09-10,death,1
Eswatini,1160164,2020-09-11,death,0
Eswatini,1160164,2020-09-12,death,0
Eswatini,1160164,2020-09-13,death,0
Eswatini,1160164,2020-09-14,death,3
Eswatini,1160164,2020-09-15,death,0
Eswatini,1160164,2020-09-16,death,0
Eswatini,1160164,2020-09-17,death,2
Eswatini,1160164,2020-09-18,death,0
Eswatini,1160164,2020-09-19,death,1
Eswatini,1160164,2020-09-20,death,0
Eswatini,1160164,2020-09-21,death,0
Eswatini,1160164,2020-09-22,death,2
Eswatini,1160164,2020-09-23,death,2
Eswatini,1160164,2020-09-24,death,0
Eswatini,1160164,2020-09-25,death,0
Eswatini,1160164,2020-09-26,death,0
Eswatini,1160164,2020-09-27,death,0
Eswatini,1160164,2020-09-28,death,0
Eswatini,1160164,2020-09-29,death,0
Eswatini,1160164,2020-09-30,death,1
Eswatini,1160164,2020-10-01,death,2
Eswatini,1160164,2020-10-02,death,0
Eswatini,1160164,2020-10-03,death,0
Eswatini,1160164,2020-10-04,death,0
Eswatini,1160164,2020-10-05,death,1
Eswatini,1160164,2020-10-06,death,0
Eswatini,1160164,2020-10-07,death,1
Eswatini,1160164,2020-10-08,death,0
Eswatini,1160164,2020-10-09,death,0
Eswatini,1160164,2020-10-10,death,0
Eswatini,1160164,2020-10-11,death,0
Eswatini,1160164,2020-10-12,death,0
Eswatini,1160164,2020-10-13,death,1
Eswatini,1160164,2020-10-14,death,0
Eswatini,1160164,2020-10-15,death,1
Eswatini,1160164,2020-10-16,death,0
Eswatini,1160164,2020-10-17,death,0
Eswatini,1160164,2020-10-18,death,1
Eswatini,1160164,2020-10-19,death,0
Eswatini,1160164,2020-10-20,death,0
Eswatini,1160164,2020-10-21,death,0
Eswatini,1160164,2020-10-22,death,0
Eswatini,1160164,2020-10-23,death,0
Eswatini,1160164,2020-10-24,death,0
Eswatini,1160164,2020-10-25,death,0
Eswatini,1160164,2020-10-26,death,0
Eswatini,1160164,2020-10-27,death,0
Eswatini,1160164,2020-10-28,death,0
Eswatini,1160164,2020-10-29,death,1
Eswatini,1160164,2020-10-30,death,0
Eswatini,1160164,2020-10-31,death,0
Eswatini,1160164,2020-11-01,death,0
Eswatini,1160164,2020-11-02,death,0
Eswatini,1160164,2020-11-03,death,0
Eswatini,1160164,2020-11-04,death,0
Eswatini,1160164,2020-11-05,death,0
Eswatini,1160164,2020-11-06,death,0
Eswatini,1160164,2020-11-07,death,0
Eswatini,1160164,2020-11-08,death,0
Eswatini,1160164,2020-11-09,death,0
Eswatini,1160164,2020-11-10,death,0
Eswatini,1160164,2020-11-11,death,0
Eswatini,1160164,2020-11-12,death,0
Eswatini,1160164,2020-11-13,death,1
Eswatini,1160164,2020-11-14,death,1
Eswatini,1160164,2020-11-15,death,0
Eswatini,1160164,2020-11-16,death,0
Eswatini,1160164,2020-11-17,death,0
Eswatini,1160164,2020-11-18,death,0
Eswatini,1160164,2020-11-19,death,0
Eswatini,1160164,2020-11-20,death,0
Eswatini,1160164,2020-11-21,death,0
Eswatini,1160164,2020-11-22,death,1
Eswatini,1160164,2020-11-23,death,0
Eswatini,1160164,2020-11-24,death,0
Eswatini,1160164,2020-11-25,death,0
Eswatini,1160164,2020-11-26,death,0
Eswatini,1160164,2020-11-27,death,0
Eswatini,1160164,2020-11-28,death,1
Eswatini,1160164,2020-11-29,death,0
Eswatini,1160164,2020-11-30,death,1
Eswatini,1160164,2020-12-01,death,0
Eswatini,1160164,2020-12-02,death,0
Eswatini,1160164,2020-12-03,death,0
Eswatini,1160164,2020-12-04,death,0
Eswatini,1160164,2020-12-05,death,0
Eswatini,1160164,2020-12-06,death,0
Eswatini,1160164,2020-12-07,death,1
Eswatini,1160164,2020-12-08,death,1
Eswatini,1160164,2020-12-09,death,1
Eswatini,1160164,2020-12-10,death,1
Eswatini,1160164,2020-12-11,death,0
Eswatini,1160164,2020-12-12,death,1
Eswatini,1160164,2020-12-13,death,0
Eswatini,1160164,2020-12-14,death,3
Eswatini,1160164,2020-12-15,death,2
Eswatini,1160164,2020-12-16,death,3
Eswatini,1160164,2020-12-17,death,0
Eswatini,1160164,2020-12-18,death,1
Eswatini,1160164,2020-12-19,death,1
Eswatini,1160164,2020-12-20,death,3
Eswatini,1160164,2020-12-21,death,1
Eswatini,1160164,2020-12-22,death,1
Eswatini,1160164,2020-12-23,death,11
Eswatini,1160164,2020-12-24,death,1
Eswatini,1160164,2020-12-25,death,0
Eswatini,1160164,2020-12-26,death,9
Eswatini,1160164,2020-12-27,death,2
Eswatini,1160164,2020-12-28,death,2
Eswatini,1160164,2020-12-29,death,8
Eswatini,1160164,2020-12-30,death,9
Eswatini,1160164,2020-12-31,death,21
Eswatini,1160164,2021-01-01,death,11
Eswatini,1160164,2021-01-02,death,11
Eswatini,1160164,2021-01-03,death,4
Eswatini,1160164,2021-01-04,death,13
Eswatini,1160164,2021-01-05,death,8
Eswatini,1160164,2021-01-06,death,9
Eswatini,1160164,2021-01-07,death,7
Eswatini,1160164,2021-01-08,death,11
Eswatini,1160164,2021-01-09,death,12
Eswatini,1160164,2021-01-10,death,4
Eswatini,1160164,2021-01-11,death,3
Eswatini,1160164,2021-01-12,death,21
Eswatini,1160164,2021-01-13,death,13
Eswatini,1160164,2021-01-14,death,3
Eswatini,1160164,2021-01-15,death,8
Eswatini,1160164,2021-01-16,death,17
Eswatini,1160164,2021-01-17,death,16
Eswatini,1160164,2021-01-18,death,8
Eswatini,1160164,2021-01-19,death,19
Eswatini,1160164,2021-01-20,death,24
Eswatini,1160164,2021-01-21,death,14
Eswatini,1160164,2021-01-22,death,17
Eswatini,1160164,2021-01-23,death,0
Eswatini,1160164,2021-01-24,death,21
Eswatini,1160164,2021-01-25,death,14
Eswatini,1160164,2021-01-26,death,24
Eswatini,1160164,2021-01-27,death,5
Eswatini,1160164,2021-01-28,death,16
Eswatini,1160164,2021-01-29,death,13
Seychelles,98462,2020-01-22,death,0
Seychelles,98462,2020-01-23,death,0
Seychelles,98462,2020-01-24,death,0
Seychelles,98462,2020-01-25,death,0
Seychelles,98462,2020-01-26,death,0
Seychelles,98462,2020-01-27,death,0
Seychelles,98462,2020-01-28,death,0
Seychelles,98462,2020-01-29,death,0
Seychelles,98462,2020-01-30,death,0
Seychelles,98462,2020-01-31,death,0
Seychelles,98462,2020-02-01,death,0
Seychelles,98462,2020-02-02,death,0
Seychelles,98462,2020-02-03,death,0
Seychelles,98462,2020-02-04,death,0
Seychelles,98462,2020-02-05,death,0
Seychelles,98462,2020-02-06,death,0
Seychelles,98462,2020-02-07,death,0
Seychelles,98462,2020-02-08,death,0
Seychelles,98462,2020-02-09,death,0
Seychelles,98462,2020-02-10,death,0
Seychelles,98462,2020-02-11,death,0
Seychelles,98462,2020-02-12,death,0
Seychelles,98462,2020-02-13,death,0
Seychelles,98462,2020-02-14,death,0
Seychelles,98462,2020-02-15,death,0
Seychelles,98462,2020-02-16,death,0
Seychelles,98462,2020-02-17,death,0
Seychelles,98462,2020-02-18,death,0
Seychelles,98462,2020-02-19,death,0
Seychelles,98462,2020-02-20,death,0
Seychelles,98462,2020-02-21,death,0
Seychelles,98462,2020-02-22,death,0
Seychelles,98462,2020-02-23,death,0
Seychelles,98462,2020-02-24,death,0
Seychelles,98462,2020-02-25,death,0
Seychelles,98462,2020-02-26,death,0
Seychelles,98462,2020-02-27,death,0
Seychelles,98462,2020-02-28,death,0
Seychelles,98462,2020-02-29,death,0
Seychelles,98462,2020-03-01,death,0
Seychelles,98462,2020-03-02,death,0
Seychelles,98462,2020-03-03,death,0
Seychelles,98462,2020-03-04,death,0
Seychelles,98462,2020-03-05,death,0
Seychelles,98462,2020-03-06,death,0
Seychelles,98462,2020-03-07,death,0
Seychelles,98462,2020-03-08,death,0
Seychelles,98462,2020-03-09,death,0
Seychelles,98462,2020-03-10,death,0
Seychelles,98462,2020-03-11,death,0
Seychelles,98462,2020-03-12,death,0
Seychelles,98462,2020-03-13,death,0
Seychelles,98462,2020-03-14,death,0
Seychelles,98462,2020-03-15,death,0
Seychelles,98462,2020-03-16,death,0
Seychelles,98462,2020-03-17,death,0
Seychelles,98462,2020-03-18,death,0
Seychelles,98462,2020-03-19,death,0
Seychelles,98462,2020-03-20,death,0
Seychelles,98462,2020-03-21,death,0
Seychelles,98462,2020-03-22,death,0
Seychelles,98462,2020-03-23,death,0
Seychelles,98462,2020-03-24,death,0
Seychelles,98462,2020-03-25,death,0
Seychelles,98462,2020-03-26,death,0
Seychelles,98462,2020-03-27,death,0
Seychelles,98462,2020-03-28,death,0
Seychelles,98462,2020-03-29,death,0
Seychelles,98462,2020-03-30,death,0
Seychelles,98462,2020-03-31,death,0
Seychelles,98462,2020-04-01,death,0
Seychelles,98462,2020-04-02,death,0
Seychelles,98462,2020-04-03,death,0
Seychelles,98462,2020-04-04,death,0
Seychelles,98462,2020-04-05,death,0
Seychelles,98462,2020-04-06,death,0
Seychelles,98462,2020-04-07,death,0
Seychelles,98462,2020-04-08,death,0
Seychelles,98462,2020-04-09,death,0
Seychelles,98462,2020-04-10,death,0
Seychelles,98462,2020-04-11,death,0
Seychelles,98462,2020-04-12,death,0
Seychelles,98462,2020-04-13,death,0
Seychelles,98462,2020-04-14,death,0
Seychelles,98462,2020-04-15,death,0
Seychelles,98462,2020-04-16,death,0
Seychelles,98462,2020-04-17,death,0
Seychelles,98462,2020-04-18,death,0
Seychelles,98462,2020-04-19,death,0
Seychelles,98462,2020-04-20,death,0
Seychelles,98462,2020-04-21,death,0
Seychelles,98462,2020-04-22,death,0
Seychelles,98462,2020-04-23,death,0
Seychelles,98462,2020-04-24,death,0
Seychelles,98462,2020-04-25,death,0
Seychelles,98462,2020-04-26,death,0
Seychelles,98462,2020-04-27,death,0
Seychelles,98462,2020-04-28,death,0
Seychelles,98462,2020-04-29,death,0
Seychelles,98462,2020-04-30,death,0
Seychelles,98462,2020-05-01,death,0
Seychelles,98462,2020-05-02,death,0
Seychelles,98462,2020-05-03,death,0
Seychelles,98462,2020-05-04,death,0
Seychelles,98462,2020-05-05,death,0
Seychelles,98462,2020-05-06,death,0
Seychelles,98462,2020-05-07,death,0
Seychelles,98462,2020-05-08,death,0
Seychelles,98462,2020-05-09,death,0
Seychelles,98462,2020-05-10,death,0
Seychelles,98462,2020-05-11,death,0
Seychelles,98462,2020-05-12,death,0
Seychelles,98462,2020-05-13,death,0
Seychelles,98462,2020-05-14,death,0
Seychelles,98462,2020-05-15,death,0
Seychelles,98462,2020-05-16,death,0
Seychelles,98462,2020-05-17,death,0
Seychelles,98462,2020-05-18,death,0
Seychelles,98462,2020-05-19,death,0
Seychelles,98462,2020-05-20,death,0
Seychelles,98462,2020-05-21,death,0
Seychelles,98462,2020-05-22,death,0
Seychelles,98462,2020-05-23,death,0
Seychelles,98462,2020-05-24,death,0
Seychelles,98462,2020-05-25,death,0
Seychelles,98462,2020-05-26,death,0
Seychelles,98462,2020-05-27,death,0
Seychelles,98462,2020-05-28,death,0
Seychelles,98462,2020-05-29,death,0
Seychelles,98462,2020-05-30,death,0
Seychelles,98462,2020-05-31,death,0
Seychelles,98462,2020-06-01,death,0
Seychelles,98462,2020-06-02,death,0
Seychelles,98462,2020-06-03,death,0
Seychelles,98462,2020-06-04,death,0
Seychelles,98462,2020-06-05,death,0
Seychelles,98462,2020-06-06,death,0
Seychelles,98462,2020-06-07,death,0
Seychelles,98462,2020-06-08,death,0
Seychelles,98462,2020-06-09,death,0
Seychelles,98462,2020-06-10,death,0
Seychelles,98462,2020-06-11,death,0
Seychelles,98462,2020-06-12,death,0
Seychelles,98462,2020-06-13,death,0
Seychelles,98462,2020-06-14,death,0
Seychelles,98462,2020-06-15,death,0
Seychelles,98462,2020-06-16,death,0
Seychelles,98462,2020-06-17,death,0
Seychelles,98462,2020-06-18,death,0
Seychelles,98462,2020-06-19,death,0
Seychelles,98462,2020-06-20,death,0
Seychelles,98462,2020-06-21,death,0
Seychelles,98462,2020-06-22,death,0
Seychelles,98462,2020-06-23,death,0
Seychelles,98462,2020-06-24,death,0
Seychelles,98462,2020-06-25,death,0
Seychelles,98462,2020-06-26,death,0
Seychelles,98462,2020-06-27,death,0
Seychelles,98462,2020-06-28,death,0
Seychelles,98462,2020-06-29,death,0
Seychelles,98462,2020-06-30,death,0
Seychelles,98462,2020-07-01,death,0
Seychelles,98462,2020-07-02,death,0
Seychelles,98462,2020-07-03,death,0
Seychelles,98462,2020-07-04,death,0
Seychelles,98462,2020-07-05,death,0
Seychelles,98462,2020-07-06,death,0
Seychelles,98462,2020-07-07,death,0
Seychelles,98462,2020-07-08,death,0
Seychelles,98462,2020-07-09,death,0
Seychelles,98462,2020-07-10,death,0
Seychelles,98462,2020-07-11,death,0
Seychelles,98462,2020-07-12,death,0
Seychelles,98462,2020-07-13,death,0
Seychelles,98462,2020-07-14,death,0
Seychelles,98462,2020-07-15,death,0
Seychelles,98462,2020-07-16,death,0
Seychelles,98462,2020-07-17,death,0
Seychelles,98462,2020-07-18,death,0
Seychelles,98462,2020-07-19,death,0
Seychelles,98462,2020-07-20,death,0
Seychelles,98462,2020-07-21,death,0
Seychelles,98462,2020-07-22,death,0
Seychelles,98462,2020-07-23,death,0
Seychelles,98462,2020-07-24,death,0
Seychelles,98462,2020-07-25,death,0
Seychelles,98462,2020-07-26,death,0
Seychelles,98462,2020-07-27,death,0
Seychelles,98462,2020-07-28,death,0
Seychelles,98462,2020-07-29,death,0
Seychelles,98462,2020-07-30,death,0
Seychelles,98462,2020-07-31,death,0
Seychelles,98462,2020-08-01,death,0
Seychelles,98462,2020-08-02,death,0
Seychelles,98462,2020-08-03,death,0
Seychelles,98462,2020-08-04,death,0
Seychelles,98462,2020-08-05,death,0
Seychelles,98462,2020-08-06,death,0
Seychelles,98462,2020-08-07,death,0
Seychelles,98462,2020-08-08,death,0
Seychelles,98462,2020-08-09,death,0
Seychelles,98462,2020-08-10,death,0
Seychelles,98462,2020-08-11,death,0
Seychelles,98462,2020-08-12,death,0
Seychelles,98462,2020-08-13,death,0
Seychelles,98462,2020-08-14,death,0
Seychelles,98462,2020-08-15,death,0
Seychelles,98462,2020-08-16,death,0
Seychelles,98462,2020-08-17,death,0
Seychelles,98462,2020-08-18,death,0
Seychelles,98462,2020-08-19,death,0
Seychelles,98462,2020-08-20,death,0
Seychelles,98462,2020-08-21,death,0
Seychelles,98462,2020-08-22,death,0
Seychelles,98462,2020-08-23,death,0
Seychelles,98462,2020-08-24,death,0
Seychelles,98462,2020-08-25,death,0
Seychelles,98462,2020-08-26,death,0
Seychelles,98462,2020-08-27,death,0
Seychelles,98462,2020-08-28,death,0
Seychelles,98462,2020-08-29,death,0
Seychelles,98462,2020-08-30,death,0
Seychelles,98462,2020-08-31,death,0
Seychelles,98462,2020-09-01,death,0
Seychelles,98462,2020-09-02,death,0
Seychelles,98462,2020-09-03,death,0
Seychelles,98462,2020-09-04,death,0
Seychelles,98462,2020-09-05,death,0
Seychelles,98462,2020-09-06,death,0
Seychelles,98462,2020-09-07,death,0
Seychelles,98462,2020-09-08,death,0
Seychelles,98462,2020-09-09,death,0
Seychelles,98462,2020-09-10,death,0
Seychelles,98462,2020-09-11,death,0
Seychelles,98462,2020-09-12,death,0
Seychelles,98462,2020-09-13,death,0
Seychelles,98462,2020-09-14,death,0
Seychelles,98462,2020-09-15,death,0
Seychelles,98462,2020-09-16,death,0
Seychelles,98462,2020-09-17,death,0
Seychelles,98462,2020-09-18,death,0
Seychelles,98462,2020-09-19,death,0
Seychelles,98462,2020-09-20,death,0
Seychelles,98462,2020-09-21,death,0
Seychelles,98462,2020-09-22,death,0
Seychelles,98462,2020-09-23,death,0
Seychelles,98462,2020-09-24,death,0
Seychelles,98462,2020-09-25,death,0
Seychelles,98462,2020-09-26,death,0
Seychelles,98462,2020-09-27,death,0
Seychelles,98462,2020-09-28,death,0
Seychelles,98462,2020-09-29,death,0
Seychelles,98462,2020-09-30,death,0
Seychelles,98462,2020-10-01,death,0
Seychelles,98462,2020-10-02,death,0
Seychelles,98462,2020-10-03,death,0
Seychelles,98462,2020-10-04,death,0
Seychelles,98462,2020-10-05,death,0
Seychelles,98462,2020-10-06,death,0
Seychelles,98462,2020-10-07,death,0
Seychelles,98462,2020-10-08,death,0
Seychelles,98462,2020-10-09,death,0
Seychelles,98462,2020-10-10,death,0
Seychelles,98462,2020-10-11,death,0
Seychelles,98462,2020-10-12,death,0
